composite_score,tech_score_min,volatility_max,require_uptrend,disable_sell_signals,rebalance_days,hold_days,total_return_pct,cagr_pct,sharpe,max_drawdown_pct,annualized_volatility_pct,overall_hit_rate_pct,avg_forward_return_pct,gated_action_counts
53.741,55.0,0.45,True,True,5,20,179.19,19.15,1.06,-22.15,18.11,62.04,2.64,"{""BUY"": 473, ""HOLD"": 167, ""NO TRADE"": 747, ""STRONG BUY"": 370}"
53.517,55.0,0.45,False,True,5,20,176.66,18.98,1.06,-22.15,18.0,61.82,2.6,"{""BUY"": 476, ""HOLD"": 167, ""NO TRADE"": 744, ""STRONG BUY"": 370}"
50.244,60.0,0.45,False,True,5,20,159.47,17.67,1.0,-21.6,17.9,60.47,2.35,"{""BUY"": 432, ""NO TRADE"": 955, ""STRONG BUY"": 370}"
49.768,60.0,0.45,True,True,5,20,156.56,17.46,0.99,-21.6,18.01,60.7,2.38,"{""BUY"": 429, ""NO TRADE"": 958, ""STRONG BUY"": 370}"
31.221,55.0,,False,True,5,20,213.01,21.51,0.96,-37.39,23.05,60.55,2.35,"{""BUY"": 611, ""HOLD"": 178, ""NO TRADE"": 593, ""STRONG BUY"": 375}"
31.221,55.0,,True,True,5,20,212.51,21.48,0.96,-37.39,23.15,60.61,2.37,"{""BUY"": 608, ""HOLD"": 178, ""NO TRADE"": 596, ""STRONG BUY"": 375}"
30.442,60.0,,False,True,5,20,194.54,20.26,0.94,-36.26,22.45,59.43,2.15,"{""BUY"": 542, ""NO TRADE"": 840, ""STRONG BUY"": 375}"
30.086,60.0,,True,True,5,20,194.33,20.24,0.93,-36.26,22.55,59.58,2.18,"{""BUY"": 539, ""NO TRADE"": 843, ""STRONG BUY"": 375}"
